key,text
BATTLE_BOSS_ENRAGE_HUD,폭주
BATTLE_BOSS_ENRAGE_SUBTITLE,위험 출력이 한계를 넘어섰습니다.
BATTLE_BOSS_ENRAGE_TITLE,보스 폭주
BATTLE_BOSS_PHASE_1_HUD,1단계
BATTLE_BOSS_PHASE_2_HUD,2단계
BATTLE_BOSS_PHASE_2_SUBTITLE,공허기관의 핵이 재배열됩니다.
BATTLE_BOSS_PHASE_2_TITLE,제2단계 돌입
CHAPTER_01,제1장 — 꺼진 노선의 신호
CHAPTER_02,제2장 — 되감기는 종착선
CHAPTER_03,제3장 — 유리평원의 야간열차
CHAPTER_04,제4장 — 침수된 신호원
CHAPTER_05,제5장 — 회백도시 봉쇄선
CHAPTER_06,제6장 — 하늘교량의 낙뢰
CHAPTER_07,제7장 — 설원에 묻힌 방송
CHAPTER_08,제8장 — 붉은 채굴궤도
CHAPTER_09,제9장 — 잠든 역무국
CHAPTER_10,제10장 — 쌍월 환승로
CHAPTER_11,제11장 — 검은 조류 방파선
CHAPTER_12,제12장 — 무명성당의 열쇠
CHAPTER_13,제13장 — 사막의 유령 시간표
CHAPTER_14,제14장 — 반전된 수도권
CHAPTER_15,제15장 — 제로 신호의 정원
CHAPTER_16,제16장 — 철도왕관 내전
CHAPTER_17,제17장 — 잔광의 도서고
CHAPTER_18,제18장 — 종말선 전야
CHAPTER_19,제19장 — 꺼지지 않는 원환
CHAPTER_20,제20장 — 마지막 등불
CHAR_ADELINE_DESC,등로단의 ARTILLERY 역할을 맡은 탐사대원.
CHAR_ADELINE_NAME,아델린
CHAR_ARINT_DESC,등로단의 GUARDIAN 역할을 맡은 탐사대원.
CHAR_ARINT_NAME,아린트
CHAR_BAEL_DESC,등로단의 MEDIC 역할을 맡은 탐사대원.
CHAR_BAEL_NAME,바엘
CHAR_CIEL_DESC,등로단의 ARTILLERY 역할을 맡은 탐사대원.
CHAR_CIEL_NAME,시엘
CHAR_DAEL_DESC,등로단의 SPECIALIST 역할을 맡은 탐사대원.
CHAR_DAEL_NAME,다엘
CHAR_DRAN_DESC,등로단의 VANGUARD 역할을 맡은 탐사대원.
CHAR_DRAN_NAME,드란
CHAR_EDA_DESC,등로단의 ASSAULT 역할을 맡은 탐사대원.
CHAR_EDA_NAME,에다
CHAR_HART_DESC,등로단의 ARTILLERY 역할을 맡은 탐사대원.
CHAR_HART_NAME,하르트
CHAR_HERAON_DESC,등로단의 ARTILLERY 역할을 맡은 탐사대원.
CHAR_HERAON_NAME,헤라온
CHAR_INOA_DESC,등로단의 SPECIALIST 역할을 맡은 탐사대원.
CHAR_INOA_NAME,이노아
CHAR_IRI_DESC,등로단의 MEDIC 역할을 맡은 탐사대원.
CHAR_IRI_NAME,이리
CHAR_KAIREN_DESC,등로단의 ASSAULT 역할을 맡은 탐사대원.
CHAR_KAIREN_NAME,카이렌
CHAR_KARN_DESC,등로단의 VANGUARD 역할을 맡은 탐사대원.
CHAR_KARN_NAME,카른
CHAR_KIAN_DESC,등로단의 ASSAULT 역할을 맡은 탐사대원.
CHAR_KIAN_NAME,키안
