video_id,start_sec,end_sec,observed_layer,observed_interaction,abstract_product_lesson,current_r14_r15_state,mvp_classification,implementation_boundary,confidence
V1,0.000,2.833,MAP,"Isometric hex overview; encounter selected; compact detail panel becomes available.","Selection first establishes location and consequence before leaving the map.","Map selection route preview and encounter panel exist.",MUST,"Retain independent map art and data; do not copy layout colors names or geometry.",HIGH
V1,2.833,5.500,TRANSITION,"Selected encounter receives a focused transition followed by a short event title card.","Use a brief focus/title beat to punctuate map-to-event context.","Focus transition exists but the full title-card chain is not yet browser-certified.",MUST,"Presentation layer only; no BattleSimulation change.",HIGH
V1,5.500,18.083,PRE_BATTLE_EVENT,"Characters are staged on a battlefield-like backdrop and exchange short dialogue before combat.","Give important encounters a concise pre-battle story beat with clear speaker order.","ScenarioRunner and localized scenarios exist; battlefield-native choreography is absent.",MUST,"For MVP use the existing static story runner/backgrounds rather than reproducing the reference battlefield UI.",HIGH
V1,18.083,53.375,BATTLE,"Battle begins with an explicit start cue; status and commands remain visible during combat.","The transition must hand off cleanly to the shipping battle and make control availability obvious.","Existing deterministic real-time five-unit SD battle is implemented.",MUST,"Keep the current real-time battle unchanged; never replace it with reference-style hex combat.",HIGH
V1,53.375,57.375,BATTLE_CLOSEOUT,"Final attacks resolve and combat state settles before narrative resumes.","Do not cut directly from the last hit into a dense reward screen; provide a short settle beat.","Battle result handoff exists; settle timing requires visual E2E verification.",SHOULD,"Cosmetic timing only; damage and event hashes remain unchanged.",MEDIUM
V1,57.375,67.958,POST_BATTLE_EVENT,"Survivors continue a short on-field conversation and a rescue outcome is acknowledged.","Outcome dialogue should reflect the just-completed encounter before rewards/map return.","Stage-clear story triggers exist at N03 N05 N07 N09 and N10; exact chained presentation is not fully browser-certified.",MUST,"Use one-shot scenario flags and existing static story presentation.",HIGH
V1,67.958,69.833,UNLOCK_PRESENTATION,"A dossier-like reveal presents a newly obtained unit or relationship outcome.","Major unlocks benefit from a dedicated reveal rather than being buried in item rows.","No equivalent is required for the current fixed eight-character Chapter 1 contract.",OUT_OF_SCOPE,"Do not add a new character or acquisition system for this MVP.",HIGH
V1,69.833,74.333,RESULT_GROWTH,"Victory card transitions into rewards and several discrete level-up summaries.","Separate outcome reward deltas and newly possible growth into readable steps.","Reward pre/post inventory and GrowthAffordabilityAnalyzer exist.",MUST,"Reuse RewardResolver and current growth services; no approximate calculator.",HIGH
V1,74.333,81.792,MAP_RETURN,"The view returns to the encounter location and its state/panel is refreshed.","Return to the exact map context and visibly communicate the changed encounter state.","Exact map return hostile removal route reveal and saved axial position exist.",MUST,"Preserve current map transaction and exact-once reward handling.",HIGH
V1,81.792,86.958,AREA_CHANGE,"A short new-area card leads into a distinct local exploration presentation.","Major progression beats should visibly disclose a newly available area or route.","Fog relay route reveal and map events exist; a separate interior exploration mode does not.",SHOULD,"Use the existing ChapterMap reveal/landmark system; a second exploration engine is out of scope.",MEDIUM
V2,0.000,4.667,MAP_OVERVIEW,"Wide chapter-map overview pans and zooms toward a moving or guarded boss encounter.","Let landmarks and threats establish spatial context before focusing the selected encounter.","Long map camera focus landmarks and moving patrol enemies exist.",MUST,"Keep independent terrain silhouettes and camera framing.",HIGH
V2,4.667,7.500,ENCOUNTER_FOCUS,"Boss pawn and vehicle-like landmark fill more of the frame; detail/entry panel is shown before transition.","Boss entry should read as a stronger map event than a normal node.","Boss marker and BOSS_GATE entry type exist; presentation differentiation needs E2E proof.",MUST,"Use current boss MapPawn/landmark and original transition VFX.",HIGH
V2,7.500,10.000,EVENT_CARD,"A minimal event title card resets attention before dialogue.","A one-to-two second localized title card provides chapter/event punctuation.","N10 has a data-driven localized compact title card verified in Development Web; public-Release direct N10 contact remains unverified.",MUST,"Data-driven localized title only; no copied typography or color composition.",HIGH
V2,10.000,26.875,BOSS_PRE_BATTLE,"Boss and party exchange concise lines; the boss receives a distinct name/introduction banner.","N10 needs authored pre-boss dialogue and a unique threat introduction.","Pre-boss scenario triggers after N09; independent N10 threat banner is data-driven and Development-Web verified, but public-Release direct N10 evidence remains pending.",MUST,"Use existing static story system and independent boss identity.",HIGH
V2,26.875,31.875,BATTLE_READY,"Battlefield title/start overlays bridge story into playable combat while units hold positions.","Make the transition from narrative to control unambiguous and skippable.","Battle start cue exists; complete map-story-battle chain remains a browser E2E gate.",MUST,"Overlay/state timing only; preserve simulation ticks and commands.",MEDIUM
V2,31.875,56.700,BOSS_BATTLE,"Active boss fight uses repeated attacks and visible boss pressure.","Boss climax requires distinct phases and readable VFX but not a new combat engine.","Boss phase patterns boss VFX and existing real-time battle are implemented.",MUST,"No stat changes in this presentation MVP; verify final/event hashes unchanged.",HIGH
V2,56.700,63.500,BOSS_OUTRO,"After combat the boss remains for a short outro/defeat conversation before the scene empties.","Close the boss arc with a one-shot outro before map-state disclosure.","N10 outro scenario trigger exists; exact sequence and duplicate suppression need browser proof.",MUST,"Use story flags and pending-scenario transaction; no copied dialogue.",MEDIUM
V2,63.500,65.000,RESULT,"A compact approval/reward summary ends the decoded video stream.","Boss result should remain concise and route directly to the next meaningful destination.","Result/reward/growth screen exists.",MUST,"Keep existing reward contract and localization.",HIGH
V3,0.000,4.300,MAP_ENCOUNTER,"Boss encounter is selected on the hex map; camera/pawn position changes and the right detail panel updates.","Selection movement arrival and information must be visually ordered before entry.","Select preview move contact and panel update exist.",MUST,"Do not copy the right-panel layout or ship/map assets.",HIGH
V3,4.300,5.100,LOADING_TRANSITION,"A pixel/dark loading transition separates the map from the event.","Use a short bounded transition with loading feedback when needed.","Map transition controller exists; exact duration and fallback indicator need E2E measurement.",MUST,"Use original signal/hex transition; normal cached black-frame target remains under 0.5 s.",HIGH
V3,5.100,7.000,EVENT_CARD,"Event title card appears before the encounter dialogue.","Standardize event-card duration and skip behavior across encounters.","N10 uses a localized data-authored title card in the normal map-contact transition; Development-Web visual verified, Release direct contact pending.",MUST,"Data-driven presentation layer only.",HIGH
V3,7.000,10.500,BOSS_MONOLOGUE,"Boss appears alone and speaks before the party enters.","Important encounters can stage speakers progressively to establish threat.","Scenario portrait show/hide/expression commands exist.",SHOULD,"Use static portraits/background swaps; no continuous character motion or copied staging.",HIGH
V3,10.500,13.500,PARTY_ENTRANCE,"Party group enters and responds; visual sides clarify opposition.","Speaker placement and eye-line should make sides readable on mobile and desktop.","Scenario positions exist; responsive visual proof is pending.",SHOULD,"Static portrait entrance/fade only; no fake Live2D.",HIGH
V3,13.500,17.333,BOSS_TITLE,"A strong boss-name banner closes the clip and prepares combat.","Use a unique but concise boss-introduction beat before handing off to battle.","N10 now supplies a localized data-driven boss-name banner with an original signal-readout motif; Development-Web visual verified and Release direct-contact evidence pending.",MUST,"Original UI motif and localized names only.",HIGH
